sku,custom_label_2,title,price,inv,cat
828234,spyder_curated,Spyder 600938 18-Piece Tungsten Carbide Tipped (TCT) Hole Saw Kit,213.06,9,KIT/SET
856649,spyder_curated,"Spyder 200307-50 12"" 10-14 TPI Bi-Metal Metal Cutting Reciprocating Saw Blades (50 Pack)",210.6,8,KIT/SET
856654,spyder_curated,"Spyder 200306-50 12"" 6 TPI Bi-Metal Metal-Wood Cutting Reciprocating Saw Blades (50 Pack)",208.2,7,KIT/SET
851386,spyder_curated,Spyder 601008 Bi-Metal Hole Saw Kit with Rapid Core Eject 7/8 in to 4-3/4 in (17 Piece Set),143.5,38,KIT/SET
828204,spyder_curated,Spyder 600880 14-Piece Tungsten Carbide Tipped (TCT) Hole Saw Kit,138.89,6,KIT/SET
827922,spyder_curated,Spyder 13506 14-Inch 72-Tooth TCT Steel Cutting Circular Saw Blade,137.2,4,Circular Blade
828176,spyder_curated,Spyder 600838 6-Inch Deep Cut Tungsten Carbide Tipped Hole Saw,128.15,5,Hole Saw
828202,spyder_curated,Spyder 600869-10 Hex10 1/2-Inch Quick Change Hole Saw Arbor (10-Pack),127.49,3,KIT/SET
856650,spyder_curated,"Spyder 200304-50 9"" 6 TPI Bi-Metal Metal-Wood Cutting Reciprocating Saw Blades (50 Pack)",125.4,5,KIT/SET
856651,spyder_curated,"Spyder 200305-50 9"" 10-14 TPI Bi-Metal Metal Cutting Reciprocating Saw Blades (50 Pack)",125.4,5,KIT/SET
828178,spyder_curated,Spyder 600837 5-1/4-Inch Deep Cut Tungsten Carbide Tipped Hole Saw,122.34,5,Hole Saw
828200,spyder_curated,Spyder 600868-10 Hex8 3/8-Inch Quick Change Hole Saw Arbor (10-Pack),111.33,4,KIT/SET
827921,spyder_curated,Spyder 13505 12-Inch 60-Tooth TCT Steel Cutting Circular Saw Blade,108.38,5,Circular Blade
833742,spyder_curated,"Spyder 13027 12"" 100-Tooth TCT Ultra Fine Circular Saw Blade Tarantula",107.96,5,Circular Blade
827898,spyder_curated,Spyder 13024 8-Inch 12-Tooth Dado Tungsten Carbide Tipped Steel Circular Saw Blade,106.78,4,Circular Blade
