sku,custom_label_2,title,price,inv,cat
869046,spyder_fallback,"Spyder 13104 12"" 16 Tooth PCD Laminate Flooring Circular Saw Blade",163.93,0,Circular Blade
869045,spyder_fallback,"Spyder 13103 10"" 12 Tooth PCD Laminate Flooring Circular Saw Blade",155.89,0,Circular Blade
869100,spyder_fallback,"Spyder 13113 12"" 40T and 80T Circular Saw Blade Set for Wood (2 Pack)",152.69,0,KIT/SET
869144,spyder_fallback,Spyder 13114 10 in 40T and 60T NiCo Carbide Combo Circular Saw Blade Set for Wood (2 Pack),126.56,0,KIT/SET
827938,spyder_fallback,Spyder 14126 14-Inch Wet/Dry Turbo Segmented Diamond Saw Blade,119.49,4,Blade other
869114,spyder_fallback,"Spyder 13102 12"" 84-Tooth Composite Decking Circular Saw Blade for Cellular PVC",111.44,0,Circular Blade
869178,spyder_fallback,"Spyder 13108 12"" 100 Tooth Polished Finish Circular Saw Blade for Wood",94.59,0,Circular Blade
869113,spyder_fallback,"Spyder 13101 10"" 60 Tooth Composite Decking Saw Blade",83.33,0,Blade other
869061,spyder_fallback,"Spyder 950048 3/4"" x 21"" SDS-Max 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",78.88,0,SDS Bit
869029,spyder_fallback,"Spyder 200441-25 12"" 6 TPI Cobalt Bi Metal Reciprocating Saw Blade for Wood and Metal with Nails (25 Pack)",74.25,0,KIT/SET
869150,spyder_fallback,"Spyder 200424-25 9"" 6 TPI Black Series Bi-Metal Reciprocating Saw Blade for Wood with Nails (25 Pack)",73.49,0,KIT/SET
869014,spyder_fallback,"Spyder 200397-25 9"" 18 TPI Cobalt Bi-Metal Reciprocating Saw Blades for Metal Cutting (25 Pack)",73.45,0,KIT/SET
869230,spyder_fallback,"Spyder 13106 12"" 96 Tooth Aluminum and Plastic Circular Saw Blade",69.32,0,Circular Blade
869203,spyder_fallback,"Spyder 13519 5-3/8"" 50-Tooth Circular Saw Blade for Medium Aluminum",63.48,0,Circular Blade
869204,spyder_fallback,"Spyder 13520 5-1/2"" 50-Tooth Medium Aluminum Circular Saw Blade",62.16,0,Circular Blade
869083,spyder_fallback,Spyder 200429-25 8 in 14 TPI Cobalt Bi-Metal Reciprocating Saw Blade for Medium Metal (25 Pack),62.16,0,KIT/SET
869055,spyder_fallback,"Spyder 200433-5 Diamond Bite 8"" Diamond Grit Reciprocating Saw Blade for Tile and Masonry Cutting (5 Pack)",61.56,0,KIT/SET
869000,spyder_fallback,"Spyder 13105 10"" 80-Tooth Aluminum and Plastic Circular Saw Blade",60.65,0,Circular Blade
869033,spyder_fallback,"Spyder 950045 3/4"" x 13"" SDS-Max 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",59.29,0,SDS Bit
828244,spyder_fallback,Spyder 900709-COUNTER Goo Lubricant Counter Display - Contains 6 Bottles,58.77,8,Lubricant
869024,spyder_fallback,"Spyder 950037 SDS-Plus 6"" 4-Cutter Full-Carbide Rotary Hammer Drill Bit Set (7 Piece)",56.32,0,KIT/SET
869195,spyder_fallback,"Spyder 200423-25 6"" 6 TPI 8 Percent Cobalt Bi-Metal Reciprocating Saw Blades for Wood With Nails (25 Pack)",54.97,0,KIT/SET
869003,spyder_fallback,"Spyder 200428-25 6"" 14 TPI Black Series Bi-Metal Reciprocating Saw Blade for Medium Metal Cutting (25 Pack)",53.97,0,KIT/SET
869216,spyder_fallback,"Spyder 200396-25 6"" 18 TPI Black Series Bi-Metal Reciprocating Saw Blade for Metal Cutting (25 Pack)",53.97,0,KIT/SET
869044,spyder_fallback,Spyder 13098 10 in 24T Ripping Circular Saw Blade for Wood,53.73,0,Circular Blade
869122,spyder_fallback,Spyder 19133 2 in PH2 Mach-Blue Impact Driver Bits (100 Pack),52.21,0,KIT/SET
869126,spyder_fallback,"Spyder 19134 2"" T25 Mach-Blue Impact Driver Bit with 1/4"" Speed Hex (100 Pack)",52.21,0,KIT/SET
869224,spyder_fallback,"Spyder 19135 2"" SQ2 Impact Driver Bits with Mach-Blue Tough Tip Technology (100 Pack)",52.21,0,KIT/SET
869176,spyder_fallback,"Spyder 13095 10"" 90 Tooth Polished Finish Circular Saw Blade for Wood",52.0,0,Circular Blade
827935,spyder_fallback,Spyder 14118 10-Inch Wet/Dry Turbo Diamond Saw Blade,51.22,5,Blade other
869142,spyder_fallback,"Spyder 13518 5-1/2"" 30T Medium Metal Circular Saw Blade",50.13,0,Circular Blade
869221,spyder_fallback,"Spyder 13068 8-1/4"" 60 Tooth Ultra Fine Finish Circular Saw Blade for Wood",48.89,0,Circular Blade
869190,spyder_fallback,"Spyder 950044 5/8"" x 13"" SDS-Max 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",46.79,0,SDS Bit
869027,spyder_fallback,Spyder 200399-25 6 in 24 TPI 8 Percent Cobalt Bi-Metal Reciprocating Saw Blades for Thin Metal Cutting (25 Pack),46.63,0,KIT/SET
869071,spyder_fallback,"Spyder 19711 8-Piece 1/4"" and 3/8"" Drive SAE Flip Socket Set with 3"" Impact Extension and Adapters (8 Piece)",46.49,0,Impact Bit
869096,spyder_fallback,"Spyder 100532 TetraClad 1/4"" Hex Shank Drill Bit Set for Metal Wood PVC (15 Piece Set)",45.25,0,KIT/SET
869009,spyder_fallback,Spyder 19712 1/4 in and 3/8 in Drive Metric Flip Impact Socket Set with 3 in Extension and 2 Adapters (8 Piece Set),44.99,0,Impact Bit
868951,spyder_fallback,"Spyder 13099 6-1/2"" 32-Tooth Wood and Metal Circular Saw Blade for Nail-Embedded Wood",41.79,0,Circular Blade
868998,spyder_fallback,"Spyder 13514 5-3/8"" 30-Tooth Saw Blade for Medium Metal Cutting",41.73,0,Blade other
869015,spyder_fallback,"Spyder 950036 SDS-Plus 4-Cutter Full-Carbide Rotary Hammer Drill Bit Set 6"" (5 Piece Set)",40.61,0,KIT/SET
869001,spyder_fallback,"Spyder 950022 1-1/8"" x 18"" SDS-Plus 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",40.52,0,SDS Bit
869229,spyder_fallback,"Spyder 13100 7-1/4"" 36-Tooth Circular Saw Blade for Wood and Metal",40.41,0,Circular Blade
869004,spyder_fallback,Spyder 950034 5/16 in x 6 in SDS-Plus Full-Carbide 4-Cutter Rotary Hammer Drill Bit,40.0,0,SDS Bit
869118,spyder_fallback,"Spyder 200442 6"" and 9"" Black Series Bi-Metal Reciprocating Saw Blade Set with Case for Multi-Material Cutting (20 Piece)",39.59,0,KIT/SET
869034,spyder_fallback,"Spyder 13093 6-1/2"" 4-Tooth PCD Diamond-Tipped Circular Saw Blade for Fiber Cement",39.07,0,Circular Blade
869095,spyder_fallback,"Spyder 18007 2-9/16"" Self-Feed Drill Bit with Replacement Tip",37.29,0,Drill Bit
869137,spyder_fallback,"Spyder 950043 1/2"" x 13"" SDS-Max 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",36.8,0,SDS Bit
827939,spyder_fallback,Spyder 14131 4-Inch Turbo Diamond Cup Wheel,36.41,5,OTHER
869019,spyder_fallback,"Spyder 18005 2-1/8"" Stinger Self-Feed Drill Bit with Replacement Tip for Fast Wood Boring",35.92,0,Drill Bit
869053,spyder_fallback,"Spyder 18004 2"" Stinger Self-Feed Drill Bit for Wood Boring",35.91,0,Drill Bit
869140,spyder_fallback,"Spyder 19965 Mach-Blue Impact Rated Drive Bit Set with 1/4"" Hex Shank (56-Piece Set)",33.84,0,KIT/SET
827934,spyder_fallback,Spyder 14117 7-Inch Wet/Dry Turbo Diamond Saw Blade,33.5,5,Blade other
869077,spyder_fallback,"Spyder 200436 6"" and 9"" Bi Metal Extreme Demolition Reciprocating Saw Blade Set (12 Piece)",33.39,0,KIT/SET
869117,spyder_fallback,Spyder 19600 Mach-Blue Tough Tip Tech Impact Rated Driver Bit Set (40 Piece),33.13,0,KIT/SET
869006,spyder_fallback,"Spyder 18003 1-3/4"" Stinger Self-Feed Drill Bit for Wood Boring",33.03,0,Drill Bit
869094,spyder_fallback,"Spyder 19137 2"" T25 Mach-Blue Impact Driver Bits with Tough Tip Technology (50 Pack)",32.67,0,KIT/SET
869098,spyder_fallback,"Spyder 19138 2"" SQ2 Mach-Blue Impact Driver Bits with Tough Tip Technology (50 Pack)",32.67,0,KIT/SET
869172,spyder_fallback,"Spyder 19136 2"" PH2 Impact Driver Bit with Mach-Blue Tough Tip Technology (50 Pack)",32.67,0,KIT/SET
869153,spyder_fallback,"Spyder 13110 7-1/4"" 40T Thick Kerf Fine Finish Miter Circular Saw Blade for Wood",32.52,0,Circular Blade
868954,spyder_fallback,"Spyder 13515 7-1/4"" 48T Circular Saw Blade for Medium Metal Cutting",31.95,0,Circular Blade
869202,spyder_fallback,"Spyder 13517 7-1/4"" 56-Tooth TCG Aluminum Circular Saw Blade",31.29,0,Circular Blade
869129,spyder_fallback,Spyder 950021 1 in x 18 in SDS-Plus 4-Cutter Carbide Rotary Hammer Drill Bit,31.25,0,SDS Bit
869157,spyder_fallback,"Spyder 19966 Mach-Blue Impact Rated Drive Bit Set with 1/4"" Hex Shank (45-Piece Set)",31.08,0,KIT/SET
869201,spyder_fallback,"Spyder 13516 6-1/2"" 56-Tooth Medium Aluminum Circular Saw Blade",30.85,0,Circular Blade
827936,spyder_fallback,Spyder 14121 7-Inch Wet/Dry Segmented Diamond Saw Blade,30.61,5,Blade other
869115,spyder_fallback,"Spyder 18002 1-1/2"" Self-Feed Stinger Drill Bit with Replacement Tip",30.4,0,Drill Bit
869025,spyder_fallback,"Spyder 950024 SDS-Plus Rotary Hammer Drill Bit Set for Masonry and Concrete, 6"" (7 Piece Set)",29.17,0,KIT/SET
867656,spyder_fallback,"Spyder 601019 12"" Hex 8 and Hex 10 Dual Locking Hole Saw Pilot Bit Extension with Rapid Core Eject",28.87,0,HoleSaw Arbor
869158,spyder_fallback,"Spyder 200373 12"" 8 TPI Tarantula Carbide Tipped Reciprocating Saw Blade for Thick Metal",28.2,0,Recip Blade
869035,spyder_fallback,Spyder 19160 1 in Mach-Blue Armor Plated S&D Drill Bit with Tri-Flat Shank,28.13,0,Drill Bit
869125,spyder_fallback,"Spyder 950035 3/4"" x 10"" SDS-Plus 4-Cutter Full-Carbide Rotary Hammer Drill Bit",26.27,0,SDS Bit
868949,spyder_fallback,"Spyder 13096 6-1/2"" 60-Tooth Ultra Fine Finish Circular Saw Blade for Wood",25.69,0,Circular Blade
869013,spyder_fallback,Spyder 950020 3/4 in x 18 in SDS-Plus 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit,25.63,0,SDS Bit
869145,spyder_fallback,"Spyder 601018 6"" Dual Locking Hole Saw Pilot Bit Extension with Rapid Core Eject",25.07,0,HoleSaw Arbor
869002,spyder_fallback,"Spyder 200375 9"" 10 TPI Tarantula Carbide Tipped Reciprocating Saw Blade for Medium Metal Cutting",25.01,0,Recip Blade
869124,spyder_fallback,"Spyder 950081 6"" Impact Shank Carbide-Tipped Multi-Material Masonry Drill Bit Set (5 Piece)",24.88,0,KIT/SET
869043,spyder_fallback,Spyder 19159 3/4 in Mach-Blue Armor Plated S&D Drill Bit with Tri-Flat Shank,24.6,0,Drill Bit
869181,spyder_fallback,"Spyder 601006 4-1/2"" Bi-Metal Fixed Arbor Hole Saw",24.17,0,HoleSaw Arbor
869167,spyder_fallback,"Spyder 13107 5-3/8"" 18-Tooth Rough Framing Circular Saw Blade",24.16,0,Circular Blade
869127,spyder_fallback,Spyder 950078 Quick-Release Hex Shank Carbide-Tipped Glass and Tile Drill Bit Set (5 Piece),24.0,0,KIT/SET
827933,spyder_fallback,Spyder 14116 4-1/2-Inch Wet/Dry Turbo Diamond Saw Blade,23.13,5,Blade other
869026,spyder_fallback,"Spyder 19656 6"" Magnetic Spline Drive SAE Nutsetter Set for Impact Drivers and Drills (6 Piece Set)",22.89,0,KIT/SET
869023,spyder_fallback,"Spyder 601005 4-1/8"" Bi-Metal Fixed Arbor Hole Saw",22.24,0,HoleSaw Arbor
869218,spyder_fallback,"Spyder 950023 SDS-Plus Tradesman 6"" Masonry Drill Bit and Chisel Set (6 Piece)",22.21,0,KIT/SET
869047,spyder_fallback,"Spyder 950025 SDS-Plus Rotary Hammer Drill Bit Set for Concrete and Masonry 6"" (5 Piece)",22.17,0,KIT/SET
869028,spyder_fallback,Spyder 950031 5/8 in x 6 in x 8 in SDS-Plus 4-Cutter Full-Carbide Rotary Hammer Drill Bit,22.15,0,SDS Bit
869116,spyder_fallback,"Spyder 70020 4"" Bi-Metal Half Moon General Purpose Oscillating Multi-Tool Blade with Dremel Adapter",22.04,0,Oscillating
869219,spyder_fallback,"Spyder 950009 1"" x 10"" SDS-Plus 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",21.84,0,SDS Bit
869143,spyder_fallback,"Spyder 200439 Tarantula 12"" 6 TPI Carbide Reciprocating Saw Blade for Multi-Material",21.57,0,Recip Blade
869010,spyder_fallback,"Spyder 200372 9"" 8 TPI Tarantula Carbide Tipped Reciprocating Saw Blade for Thick Metal",21.56,0,Recip Blade
869050,spyder_fallback,"Spyder 200408-5 12"" 6 TPI Bi-Metal Extreme Demolition Reciprocating Saw Blades for Wood and Nails (5 Pack)",21.4,0,KIT/SET
827930,spyder_fallback,Spyder 14115 4-Inch Wet/Dry Turbo Diamond Saw Blade,21.36,5,Blade other
